,time,city,temp,pressure,humidity,desc
326,1588809600,Chennai,301.82,1007,82,overcast clouds
327,1588820400,Chennai,303.65,1010,72,overcast clouds
328,1588831200,Chennai,306.38,1009,56,overcast clouds
329,1588842000,Chennai,305.62,1005,61,overcast clouds
330,1588852800,Chennai,303.74,1005,72,overcast clouds
331,1588863600,Chennai,302.86,1008,77,overcast clouds
332,1588874400,Chennai,302.49,1009,78,broken clouds
333,1588885200,Chennai,301.88,1007,81,broken clouds
334,1588896000,Chennai,301.76,1007,82,broken clouds
335,1588906800,Chennai,303.95,1009,70,few clouds
336,1588917600,Chennai,306.47,1008,55,few clouds
337,1588928400,Chennai,305.74,1005,63,scattered clouds
338,1588939200,Chennai,303.93,1004,72,few clouds
339,1588950000,Chennai,303.02,1008,77,clear sky
340,1588960800,Chennai,302.62,1008,79,clear sky
341,1588971600,Chennai,302.06,1006,80,clear sky
342,1588982400,Chennai,301.52,1006,82,clear sky
343,1588993200,Chennai,303.87,1008,70,few clouds
344,1589004000,Chennai,306.57,1007,54,few clouds
345,1589014800,Chennai,305.38,1005,64,broken clouds
346,1589025600,Chennai,303.64,1004,73,overcast clouds
347,1589036400,Chennai,303.03,1007,77,overcast clouds
348,1589047200,Chennai,302.57,1007,80,broken clouds
349,1589058000,Chennai,302.12,1006,80,overcast clouds
350,1589068800,Chennai,301.85,1006,80,overcast clouds
351,1589079600,Chennai,303.82,1008,69,overcast clouds
352,1589090400,Chennai,305.34,1007,63,broken clouds
353,1589101200,Chennai,305.65,1005,62,few clouds
354,1589112000,Chennai,303.75,1004,73,scattered clouds
355,1589122800,Chennai,302.88,1006,79,overcast clouds
356,1589133600,Chennai,302.69,1008,76,overcast clouds
357,1589144400,Chennai,302.15,1006,75,overcast clouds
358,1589155200,Chennai,301.48,1006,77,broken clouds
359,1589166000,Chennai,303.67,1008,65,broken clouds
